episode,total_reward,steps_survived,epsilon
1,-2.900000000000027,189,0.6
2,-1.70000000000001,200,0.5921987132938226
3,1.1000000000000085,209,0.5845080812681396
4,-4.500000000000039,176,0.5769265343795186
5,0.10000000000001563,213,0.5694525253471784
6,1.4210854715202004e-14,217,0.5620845288372125
7,1.8000000000000398,228,0.5548210411512909
8,1.0000000000000284,223,0.5476605799197777
9,0.4000000000000199,220,0.5406016837992018
